Technology	Utilization Requirement
GH2 Pipeline (transmission)	0.05
Central Natural Gas Reforming w/CCS	0.05
Central Grid Electrolysis (PEM)	0.05
GH2 Truck Terminal w/ Storage	0.05
GH2 Pipeline Station (700bar)	0.05
GH2 Truck Station (700bar)	0.05
GH2 Pipeline Salt Cavern Storage	0.05
LH2 Station (gas dispensing)	0.05
LH2 Truck Terminal w/storage	0.05
Linepack pipeline (transmission)	0.05
GH2 Pipeline Nodal Storage	0.05
Onsite Electrolysis (PEM)	0.05
Onsite Natural Gas Reforming	0.05
GH2 Pipeline Compressor	0.05
