Material	Zone	Year	Price [$/unit]	Billable?	Quantity [unit]	Period
Salt Cavern Available [kg]	No Salt Cavern Available	2025	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2025	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2026	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2026	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2027	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2028	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2029	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2030	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2031	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2032	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2033	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2034	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2035	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2036	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2037	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2038	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2039	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2040	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2041	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2042	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2043	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2044	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2045	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2046	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2047	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2048	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2049	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	No Salt Cavern Available	2050	1.00E+20	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2027	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2028	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2029	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2030	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2031	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2032	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2033	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2034	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2035	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2036	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2037	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2038	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2039	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2040	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2041	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2042	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2043	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2044	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2045	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2046	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2047	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2048	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2049	0	FALSE	Infinity	1 Year
Salt Cavern Available [kg]	Salt Cavern Available	2050	0	FALSE	Infinity	1 Year
