Material	Zone	Year	Price [$/unit]	Billable?	Quantity [unit]
Biomass [ton]	USA	2013	85.9953	True	Infinity
Biomass [ton]	USA	2014	85.9953	True	Infinity
Biomass [ton]	USA	2015	85.9953	True	Infinity
Biomass [ton]	USA	2016	85.9953	True	Infinity
Biomass [ton]	USA	2017	85.9953	True	Infinity
Biomass [ton]	USA	2018	85.9953	True	Infinity
Biomass [ton]	USA	2019	85.9953	True	Infinity
Biomass [ton]	USA	2020	85.9953	True	Infinity
Biomass [ton]	USA	2021	85.9953	True	Infinity
Biomass [ton]	USA	2022	85.9953	True	Infinity
Biomass [ton]	USA	2023	85.9953	True	Infinity
Biomass [ton]	USA	2024	85.9953	True	Infinity
Biomass [ton]	USA	2025	85.9953	True	Infinity
Biomass [ton]	USA	2026	85.9953	True	Infinity
Biomass [ton]	USA	2027	85.9953	True	Infinity
Biomass [ton]	USA	2028	85.9953	True	Infinity
Biomass [ton]	USA	2029	85.9953	True	Infinity
Biomass [ton]	USA	2030	85.9953	True	Infinity
Biomass [ton]	USA	2031	85.9953	True	Infinity
Biomass [ton]	USA	2032	85.9953	True	Infinity
Biomass [ton]	USA	2033	85.9953	True	Infinity
Biomass [ton]	USA	2034	85.9953	True	Infinity
Biomass [ton]	USA	2035	85.9953	True	Infinity
Biomass [ton]	USA	2036	85.9953	True	Infinity
Biomass [ton]	USA	2037	85.9953	True	Infinity
Biomass [ton]	USA	2038	85.9953	True	Infinity
Biomass [ton]	USA	2039	85.9953	True	Infinity
Biomass [ton]	USA	2040	85.9953	True	Infinity
Biomass [ton]	USA	2041	85.9953	True	Infinity
Biomass [ton]	USA	2042	85.9953	True	Infinity
Biomass [ton]	USA	2043	85.9953	True	Infinity
Biomass [ton]	USA	2044	85.9953	True	Infinity
Biomass [ton]	USA	2045	85.9953	True	Infinity
Biomass [ton]	USA	2046	85.9953	True	Infinity
Biomass [ton]	USA	2047	85.9953	True	Infinity
Biomass [ton]	USA	2048	85.9953	True	Infinity
Biomass [ton]	USA	2049	85.9953	True	Infinity
Biomass [ton]	USA	2050	85.9953	True	Infinity
Biomass [ton]	Canada	2015	85.9953	True	Infinity
Biomass [ton]	Canada	2016	85.9953	True	Infinity
Biomass [ton]	Canada	2017	85.9953	True	Infinity
Biomass [ton]	Canada	2018	85.9953	True	Infinity
Biomass [ton]	Canada	2019	85.9953	True	Infinity
Biomass [ton]	Canada	2020	85.9953	True	Infinity
Biomass [ton]	Canada	2021	85.9953	True	Infinity
Biomass [ton]	Canada	2022	85.9953	True	Infinity
Biomass [ton]	Canada	2023	85.9953	True	Infinity
Biomass [ton]	Canada	2024	85.9953	True	Infinity
Biomass [ton]	Canada	2025	85.9953	True	Infinity
Biomass [ton]	Canada	2026	85.9953	True	Infinity
Biomass [ton]	Canada	2027	85.9953	True	Infinity
Biomass [ton]	Canada	2028	85.9953	True	Infinity
Biomass [ton]	Canada	2029	85.9953	True	Infinity
Biomass [ton]	Canada	2030	85.9953	True	Infinity
Biomass [ton]	Canada	2031	85.9953	True	Infinity
Biomass [ton]	Canada	2032	85.9953	True	Infinity
Biomass [ton]	Canada	2033	85.9953	True	Infinity
Biomass [ton]	Canada	2034	85.9953	True	Infinity
Biomass [ton]	Canada	2035	85.9953	True	Infinity
Biomass [ton]	Canada	2036	85.9953	True	Infinity
Biomass [ton]	Canada	2037	85.9953	True	Infinity
Biomass [ton]	Canada	2038	85.9953	True	Infinity
Biomass [ton]	Canada	2039	85.9953	True	Infinity
Biomass [ton]	Canada	2040	85.9953	True	Infinity
Biomass [ton]	Canada	2041	85.9953	True	Infinity
Biomass [ton]	Canada	2042	85.9953	True	Infinity
Biomass [ton]	Canada	2043	85.9953	True	Infinity
Biomass [ton]	Canada	2044	85.9953	True	Infinity
Biomass [ton]	Canada	2045	85.9953	True	Infinity
Biomass [ton]	Canada	2046	85.9953	True	Infinity
Biomass [ton]	Canada	2047	85.9953	True	Infinity
Biomass [ton]	Canada	2048	85.9953	True	Infinity
Biomass [ton]	Canada	2049	85.9953	True	Infinity
Biomass [ton]	Canada	2050	85.9953	True	Infinity
